,SURF: Hole 3A ,WE1: -190 mV,WE2: 10 mV,WE4: 530 mV
Bacteria Bacteroidetes Cytophagia Cytophagales Cytophagaceae,0.1375259755,1,0,0
Bacteria Bacteroidetes Sphingobacteriia Sphingobacteriales Chitinophagaceae,0.3321374195,0.6507043771,1,0
Bacteria Bacteroidetes Unclassified Unclassified Unclassified,0.3327180153,1,0.1161025478,0.0471948114
Bacteria Planctomycetes Planctomycetia Planctomycetales Planctomycetaceae,0.0006507,0.5772393399,1,0
Bacteria Proteobacteria Alphaproteobacteria Caulobacterales Caulobacteraceae,0.1252425697,1,0.1057547193,0
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Bradyrhizobiaceae,0.0009915355,1,0.3034403286,0
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Hyphomicrobiaceae,0.1760332487,1,0.8914115646,0
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Rhizobiaceae,0.040327531,0,1,0
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Unclassified,0.0501039021,0.4037094807,1,0
Bacteria Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae,0.9051378836,0.4158036407,1,0
Bacteria Proteobacteria Alphaproteobacteria Unclassified Unclassified,1,0.0557619143,0.0408149803,0
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Burkholderiaceae,0.005501039,1,0.6587557604,0.0699877601
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae,0.0112051102,0.0364272429,0.3013386792,0.0027656876
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Unclassified,0.4245290083,0,1,0.0086142446
Bacteria Proteobacteria Betaproteobacteria Hydrogenophilales Hydrogenophilaceae,1,0,0.0201845928,0
Bacteria Proteobacteria Betaproteobacteria Rhodocyclales Rhodocyclaceae,0.0796512513,0.0637313275,0.0132988287,0.00456475
Bacteria Proteobacteria Betaproteobacteria Unclassified Unclassified,0.3278016403,1,0.3425797333,0
Bacteria Proteobacteria Deltaproteobacteria Desulfuromonadales Desulfuromonadaceae,0.0080813113,0,0.000199865,1
Bacteria Proteobacteria Deltaproteobacteria Desulfuromonadales Geobacteraceae,0.0424440083,0,0,1
Bacteria Proteobacteria Deltaproteobacteria Desulfuromonadales Unclassified,0.151146759,1,0.9938629683,0.0372671779
Bacteria Proteobacteria Deltaproteobacteria Unclassified Unclassified,1,0,0.0295535913,0
Bacteria Proteobacteria Gammaproteobacteria Legionellales Legionellaceae,0.1657679169,1,0,0
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae,0.0026275687,0.0358237146,0.0677380952,0.0013929009
Bacteria Proteobacteria Gammaproteobacteria Unclassified Unclassified,1,0.0170209589,0.0934387891,0
Bacteria Proteobacteria Unclassified Unclassified Unclassified,1,0.0467839568,0.0233071328,0
Bacteria Unclassified Unclassified Unclassified Unclassified,0.6305236896,0.1018979943,1,0
